СбОрг;Customer;contract&add;order;ref;date port;country;station;region;products;grade;klass;size;length, m;packing;length; Qty ; scheduled ; shipped month ; Qty Balance ; date ;gruzo;Customs;inc;tol;remarks;Standart;date unblocked;втрс;стан;Способ производства;Дата Ex-shop;про-во за 28.05.15
2000;Floran;368S15Y4000055987;5000287338;;26.05.2015;Ukraine;ОТПРАВКА АВТОМОБИЛЬНЫМ ТРАНСПОРТОМ;УКРАИНА;ANGLES;ST3PS ; ;25X25X3 ;/;;RANDOM CUT LENGTH;10;10;0;10;21.05.2015;Floran;;FCA;;;GOST 535-2005;00.00.0000;А/машина;812;;;0
;;;;;;;;;;;;25X25X3  Итог;;;;10;10;0;10;;;;;;;;;;;;;
2000;"TOV ""OMTS""";384S15Y4000055617;5000284549;;00.00.0000;Ukraine;ОТПРАВКА АВТОМОБИЛЬНЫМ ТРАНСПОРТОМ;УКРАИНА;ANGLES;ST3PS ; ;40X40X3 25X25X3;/;;RANDOM CUT LENGTH;10;10;0;10;28.04.2015;"TOV ""OMTS""";;FCA;;;GOST 535-2005;00.00.0000;А/машина;812;;25.05.2015;0
;;;;;;;;;;;;40X40X3 25X25X3 Итог;;;;10;10;0;10;;;;;;;;;;;;;
2000;AV metall grupp;357S13;5000286388;;00.00.0000;Ukraine;ОТПРАВКА АВТОМОБИЛЬНЫМ ТРАНСПОРТОМ;УКРАИНА;ANGLES;ST3PS ; ;40X40X4 ;/6;;SPECIFIC CUT LENGTH;21;21;21;0;14.05.2015;AV metall grupp;;FCA;;;GOST 535-2005;00.00.0000;А/машина;812;;;0
2000;Floran;368S15Y4000055987;5000287339;;00.00.0000;Ukraine;ОТПРАВКА АВТОМОБИЛЬНЫМ ТРАНСПОРТОМ;УКРАИНА;ANGLES;ST3PS ; ;40X40X4 ;/;;RANDOM CUT LENGTH;10;10;0;10;21.05.2015;Floran;;FCA;;;GOST 535-2005;00.00.0000;А/машина;812;;;0
;;;;;;;;;;;;40X40X4  Итог;;;;31;31;21;10;;;;;;;;;;;;;
2000;Floran;368S15Y4000055987;5000287340;;00.00.0000;Ukraine;ОТПРАВКА АВТОМОБИЛЬНЫМ ТРАНСПОРТОМ;УКРАИНА;ANGLES;ST3PS ; ;45X45X4 ;/;;RANDOM CUT LENGTH;10;0;0;10;21.05.2015;Floran;;FCA;;;GOST 535-2005;00.00.0000;А/машина;812;;;0
;;;;;;;;;;;;45X45X4  Итог;;;;10;0;0;10;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
